name,County,SUB_COUNTY,Ward,long,lat,county
BAKWANIN,Baringo,Baringo Central,Sacho,35.79708,0.40955,Baringo
BEKIBON,Baringo,Baringo South,Marigat,35.88406,0.3364,Baringo
BOKORIN,Baringo,Baringo Central,Kapropita,35.77177,0.53218,Baringo
BOROWONIN,Baringo,Baringo Central,Kapropita,35.77864,0.44487,Baringo
BOSIN,Baringo,Baringo Central,Sacho,35.79545,0.43809,Baringo
BUIWON,Baringo,Baringo South,Marigat,35.90716,0.3668,Baringo
CHESONGO,Baringo,Baringo Central,Kabarnet,35.67543,0.55089,Baringo
EITUI,Baringo,Baringo Central,Tenges,35.740339,0.218567,Baringo
EMOM,Baringo,Baringo Central,Tenges,35.74721,0.29077,Baringo
ERON,Baringo,Baringo Central,Kabarnet,35.67539,0.48551,Baringo
ILLIAGAT,Baringo,Baringo South,Marigat,35.83417,0.30749,Baringo
KABARBARMA,Baringo,Baringo Central,Ewalel/ Chapchap,35.81746,0.43149,Baringo
KABARNET DEAF BLIND SP,Baringo,Baringo Central,Kabarnet,35.73776,0.5008,Baringo
KABASIS D B,Baringo,Baringo Central,Sacho,35.78729,0.43688,Baringo
KABIRMOI,Baringo,Baringo Central,Sacho,35.78441,0.42125,Baringo
KABIRMET,Baringo,Baringo Central,Ewalel/ Chapchap,35.82469,0.58723,Baringo
KABOCHONY,Baringo,Baringo Central,Ewalel/ Chapchap,35.79967,0.44333,Baringo
KAISO,Baringo,Baringo Central,Tenges,35.79731,0.30241,Baringo
KAKWANE,Baringo,Baringo Central,Kabarnet,35.62756,0.52323,Baringo
KAMGOIN,Baringo,Baringo Central,Kapropita,35.76201,0.4706,Baringo
KAMWEN,Baringo,Baringo Central,Kabarnet,35.75023,0.55332,Baringo
KAPCHEMON,Baringo,Baringo Central,Kabarnet,35.74422,0.52884,Baringo
KAPCHEREBET,Baringo,Baringo Central,Kapropita,35.7192,0.45235,Baringo
KAPCHOMUSO,Baringo,Baringo Central,Kabarnet,35.74316,0.54066,Baringo
KAPKATIT,Baringo,Baringo Central,Tenges,35.78163,0.26617,Baringo
KAPKELELWA,Baringo,Baringo Central,Sacho,35.72099,0.37685,Baringo
KAPKIAI,Baringo,Baringo Central,Ewalel/ Chapchap,35.80483,0.42841,Baringo
KAPKOIBAI,Baringo,Baringo Central,Kabarnet,35.85264,0.54361,Baringo
KAPKOMOI,Baringo,Baringo Central,Ewalel/ Chapchap,35.79286,0.50313,Baringo
KAPKONY,Baringo,Baringo Central,Kapropita,35.76435,0.44721,Baringo
KAPKUT,Baringo,Baringo Central,Kapropita,35.74121,0.46229,Baringo
KAPLEL,Baringo,Baringo Central,Sacho,35.76846,0.35463,Baringo
KAPLOTEN,Baringo,Baringo Central,Sacho,35.7675,0.37023,Baringo
KAPROPITA,Baringo,Baringo Central,Kapropita,35.75276,0.48976,Baringo
KAPSIGORIAN,Baringo,Baringo Central,Kapropita,35.70722,0.47748,Baringo
KAPSOGO,Baringo,Baringo Central,Kapropita,35.78089,0.45486,Baringo
KAPSOO,Baringo,Baringo Central,Kapropita,35.77038,0.46873,Baringo
KAPTARA,Baringo,Baringo Central,Kabarnet,35.64617,0.55233,Baringo
KAPTICH,Baringo,Baringo Central,Sacho,35.79677,0.3605,Baringo
KAPTIEN,Baringo,Baringo Central,Kapropita,35.72517,0.42979,Baringo
KAPTIMBOR,Baringo,Baringo Central,Kabarnet,35.73221,0.49954,Baringo
KAPTOROKWO,Baringo,Baringo Central,Ewalel/ Chapchap,35.79478,0.44964,Baringo
KAPTUMO,Baringo,Baringo Central,Ewalel/ Chapchap,35.80013,0.57011,Baringo
KAPYEMIT,Baringo,Baringo Central,Kabarnet,36.040712,0.16532,Baringo
KASERET,Baringo,Baringo Central,Tenges,35.76924,0.2718,Baringo
KASORE,Baringo,Baringo Central,Ewalel/ Chapchap,35.80485,0.52408,Baringo
KESETAN,Baringo,Baringo Central,Sacho,35.77491,0.37283,Baringo
KETINDUI,Baringo,Baringo Central,Kabarnet,35.71393,0.52118,Baringo
KEWAMOI,Baringo,Baringo Central,Sacho,35.7252,0.49842,Baringo
KIBOI,Baringo,Baringo Central,Kapropita,35.75362,0.47481,Baringo
KIBOINO,Baringo,Baringo Central,Kabarnet,35.68215,0.46358,Baringo
